mo180,25.57,
tensaibaka1,25.56,
themind1162,25.46,
phillies1,25.42,
edb,25.41,
bobby,25.39,
richieo31,25.36,
pudge017,25.35,
aaa32,25.33,
ggarma808,25.3,
greghensley,25.26,
pico,25.21,
billt3316,25.2,
bsandman6,25.2,
joshmeyer,25.18,
peten,25.15,
denise0904,25.14,
mooseluce,25.12,
thedartshop,25.12,
brooksy3423,25.11,
dewaynewaite,25.08,
marinesniper1,25.08,
dman72,25.06,
lelan,25.06,
bobt,25.05,
clint12,25.05,
chris12,25.04,
dancer61024,25,
cowboy0927,24.99,
bud,24.92,
leod,24.91,
nsasinowski,24.89,
kleaver,24.88,
skrzat,24.88,
crow2103,24.86,
rmole,24.84,
ad2266,24.83,
dennis1,24.8,
patrick,24.79,
stephanietaylor,24.78,
jamess,24.77,
xmarc72x,24.75,
g2112,24.73,
dustinvalentine,24.72,
sneuplazx,24.71,
haroldt,24.71,
ronsmith,24.67,
carloselizondo,24.66,
silenttd,24.64,
boibbymac,24.64,
briancastilho,24.63,
christinabanks,24.63,
frank13,24.63,
bborelli,24.62,
dseamans,24.59,
walton17535,24.59,
sski,24.56,
jp324,24.52,
flizzip,24.51,
matthewf,24.5,
cuyemura,24.47,
johnmeyke,24.47,
lugo022774,24.43,
lynn,24.4,
armock,24.39,
tbusch,24.38,
curtis79,24.34,
jody,24.33,
primtime,24.3,
victor1122,24.28,
craigbrew,24.26,
rohlfing04,24.26,
parker,24.24,
fancy,24.24,
kirklee,24.22,
hazmat,24.22,
shrek,24.22,
hollywood,24.19,
eichornadam,24.17,
jasongodek,24.16,
ckhawaii1,24.16,
joseph12,24.16,
mkpro,24.14,
jschmidt,24.12,
paulheminover,24.11,
bkunkel,24.11,
jeffgaiggs,24.1,
michelles,24.09,
raiders,24.09,
jim2529,24.08,
soko721,24.06,
rilo,24.06,
frank,24.04,
toshio71,24.01,
changgi,24.01,
reno,23.98,
azjacob97,23.97,
mplatt,23.97,
weerdo626,23.95,
houdini,23.94,
ediamond,23.91,
callie75,23.89,
lokene,23.88,
airgaswest,23.86,
preston,23.84,
dustinanderson,23.83,
hogan83,23.82,
toobad,23.81,
mrdart7718,23.78,
asuwest,23.77,
alanl,23.76,
larrynickols,23.76,
tinman,23.74,
jimmie,23.74,
won234,23.73,
bhughes,23.73,
jojostratton,23.72,
vetteman,23.72,
shieldsda,23.71,
daveandersen,23.7,
pauliej,23.69,
